t, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50, 
1, -0.983316, 1.232672, 1.027722, -1.813152, 4.000696, -0.678035, 1.707463, 0.911123, -4.058004, -4.237316, 4.129701, 2.314900, -2.845418, 0.317018, 3.853909, -0.210136, 4.831851, -2.448522, 3.393215, -4.907471, 1.742895, 3.001923, -2.242353, -0.065558, -0.904993, -4.864783, -0.523457, -2.502093, 4.570071, -3.605537, 1.516679, -2.005876, 2.277366, -4.557377, -1.935961, 2.240320, -4.234027, -2.270755, -2.616376, 2.316187, -2.613733, 4.077596, -2.570940, -4.531932, 1.876880, -3.512654, 1.448128, -0.716114, 0.417911, -1.766911, -1.845688, -1.885763, -3.266486, 0.172590, -2.603865, 4.268159, 2.275247, -0.113880, 5.109742, -3.896569, -0.173551, 4.771939, 2.966372, 0.265978, -3.707374, -1.834556, -4.049067, -1.808078, 0.810546, -1.131289, 2.013380, 4.759235, 3.838305, 0.797030, -3.102490, -3.377825, -2.142987, -0.050809, -3.972097, -1.937212, -4.974500, -2.173063, 1.113413, -4.295591, 4.148201, -2.601416, 2.205526, -1.298932, 4.940974, 0.339502, 1.788030, -3.675855, -0.213619, -3.577703, -1.154208, 3.697310, -3.823005, -1.261786, -4.902530, 4.722140, 
2, -1.173594, 1.088530, 1.100489, -1.688806, 3.789688, -0.548012, 1.510966, 1.013446, -4.001330, -4.209424, 4.196463, 2.282813, -2.915838, 0.216688, 3.796279, -0.431029, 4.877208, -2.531291, 3.330698, -5.013536, 1.882757, 3.002065, -2.409079, -0.053984, -0.867554, -5.075840, -0.432300, -2.257314, 4.474656, -3.547319, 1.604326, -2.154923, 2.523057, -4.726015, -1.951015, 2.226025, -4.083741, -2.162010, -2.493644, 2.105371, -2.760891, 3.866531, -2.631547, -4.729313, 2.110362, -3.450369, 1.652952, -0.666347, 0.529751, -1.782802, -2.006643, -1.765657, -3.302203, 0.248233, -2.832301, 4.292078, 2.365764, -0.069324, 5.334366, -3.996472, -0.342522, 4.600288, 2.991022, 0.404573, -3.557964, -1.790724, -3.972937, -1.816941, 0.652285, -1.269132, 2.064025, 4.526522, 3.597001, 0.934743, -2.919465, -3.192631, -2.014057, 0.146895, -3.792250, -2.125025, -4.993212, -2.215985, 0.936298, -4.255789, 4.288297, -2.621545, 2.245314, -1.511867, 5.130657, 0.470299, 1.662546, -3.842058, -0.432329, -3.426062, -0.944096, 3.774963, -3.803841, -1.095721, -4.978451, 4.870195, 
3, -1.363872, 0.944387, 1.173257, -1.564461, 3.578679, -0.417989, 1.314469, 1.115770, -3.944656, -4.181532, 4.263225, 2.250726, -2.986258, 0.116358, 3.738648, -0.651922, 4.922564, -2.614061, 3.268182, -5.119601, 2.022620, 3.002206, -2.575803, -0.042409, -0.830115, -5.286897, -0.341143, -2.012534, 4.379241, -3.489101, 1.691972, -2.303971, 2.768748, -4.894653, -1.966068, 2.211730, -3.933456, -2.053265, -2.370911, 1.894554, -2.908049, 3.655465, -2.692153, -4.926693, 2.343843, -3.388085, 1.857776, -0.616580, 0.641590, -1.798693, -2.167598, -1.645550, -3.337921, 0.323876, -3.060737, 4.315997, 2.456281, -0.024768, 5.558989, -4.096375, -0.511493, 4.428638, 3.015672, 0.543168, -3.408554, -1.746891, -3.896807, -1.825804, 0.494024, -1.406975, 2.114671, 4.293810, 3.355698, 1.072455, -2.736439, -3.007438, -1.885128, 0.344600, -3.612404, -2.312838, -5.011924, -2.258906, 0.759183, -4.215986, 4.428392, -2.641674, 2.285101, -1.724802, 5.320340, 0.601096, 1.537061, -4.008261, -0.651039, -3.274421, -0.733985, 3.852615, -3.784676, -0.929655, -5.054372, 5.018251, 
4, -1.554151, 0.800245, 1.246024, -1.440116, 3.367671, -0.287965, 1.117972, 1.218093, -3.887982, -4.153640, 4.329987, 2.218639, -3.056678, 0.016028, 3.681017, -0.872815, 4.967920, -2.696830, 3.205665, -5.225666, 2.162482, 3.002348, -2.742528, -0.030835, -0.792676, -5.497953, -0.249985, -1.767754, 4.283826, -3.430883, 1.779619, -2.453018, 3.014438, -5.063291, -1.981122, 2.197435, -3.783170, -1.944520, -2.248178, 1.683738, -3.055207, 3.444400, -2.752760, -5.124073, 2.577325, -3.325800, 2.062600, -0.566813, 0.753430, -1.814584, -2.328553, -1.525444, -3.373638, 0.399519, -3.289173, 4.339915, 2.546798, 0.019788, 5.783612, -4.196278, -0.680464, 4.256987, 3.040322, 0.681762, -3.259144, -1.703059, -3.820677, -1.834667, 0.335763, -1.544819, 2.165316, 4.061097, 3.114394, 1.210168, -2.553413, -2.822244, -1.756198, 0.542305, -3.432557, -2.500650, -5.030637, -2.301828, 0.582068, -4.176184, 4.568488, -2.661803, 2.324889, -1.937737, 5.510022, 0.731893, 1.411577, -4.174464, -0.869749, -3.122781, -0.523873, 3.930268, -3.765512, -0.763590, -5.130293, 5.166306, 
5, -1.744429, 0.656103, 1.318791, -1.315771, 3.156663, -0.157941, 0.921475, 1.320417, -3.831308, -4.125748, 4.396749, 2.186552, -3.127098, -0.084302, 3.623386, -1.093708, 5.013276, -2.779600, 3.143149, -5.331731, 2.302344, 3.002490, -2.909252, -0.019260, -0.755237, -5.709010, -0.158828, -1.522974, 4.188410, -3.372665, 1.867266, -2.602066, 3.260129, -5.231930, -1.996175, 2.183139, -3.632884, -1.835775, -2.125445, 1.472922, -3.202365, 3.233334, -2.813367, -5.321453, 2.810807, -3.263516, 2.267425, -0.517046, 0.865270, -1.830475, -2.489507, -1.405337, -3.409356, 0.475161, -3.517609, 4.363834, 2.637316, 0.064344, 6.008235, -4.296181, -0.849435, 4.085336, 3.064972, 0.820357, -3.109735, -1.659226, -3.744547, -1.843530, 0.177503, -1.682662, 2.215961, 3.828384, 2.873090, 1.347880, -2.370387, -2.637050, -1.627269, 0.740010, -3.252711, -2.688463, -5.049349, -2.344749, 0.404953, -4.136381, 4.708583, -2.681932, 2.364676, -2.150672, 5.699705, 0.862690, 1.286092, -4.340667, -1.088459, -2.971140, -0.313761, 4.007921, -3.746347, -0.597525, -5.206214, 5.314361, 
6, -1.934707, 0.511961, 1.391559, -1.191426, 2.945655, -0.027918, 0.724978, 1.422740, -3.774633, -4.097856, 4.463511, 2.154465, -3.197518, -0.184632, 3.565755, -1.314601, 5.058633, -2.862369, 3.080632, -5.437795, 2.442207, 3.002632, -3.075977, -0.007686, -0.717798, -5.920067, -0.067671, -1.278194, 4.092995, -3.314447, 1.954912, -2.751113, 3.505819, -5.400568, -2.011229, 2.168844, -3.482598, -1.727029, -2.002713, 1.262105, -3.349523, 3.022269, -2.873974, -5.518834, 3.044289, -3.201232, 2.472249, -0.467279, 0.977109, -1.846366, -2.650462, -1.285231, -3.445073, 0.550804, -3.746045, 4.387752, 2.727833, 0.108900, 6.232858, -4.396083, -1.018406, 3.913686, 3.089622, 0.958952, -2.960325, -1.615394, -3.668417, -1.852393, 0.019242, -1.820505, 2.266606, 3.595671, 2.631786, 1.485592, -2.187361, -2.451856, -1.498340, 0.937715, -3.072865, -2.876276, -5.068061, -2.387671, 0.227838, -4.096579, 4.848679, -2.702061, 2.404463, -2.363607, 5.889387, 0.993487, 1.160608, -4.506871, -1.307169, -2.819499, -0.103650, 4.085573, -3.727183, -0.431459, -5.282135, 5.462416, 
7, -2.124985, 0.367819, 1.464326, -1.067081, 2.734646, 0.102106, 0.528482, 1.525064, -3.717959, -4.069964, 4.530273, 2.122379, -3.267937, -0.284963, 3.508124, -1.535494, 5.103989, -2.945138, 3.018115, -5.543860, 2.582069, 3.002774, -3.242702, 0.003889, -0.680360, -6.131124, 0.023487, -1.033415, 3.997580, -3.256229, 2.042559, -2.900160, 3.751510, -5.569206, -2.026282, 2.154549, -3.332313, -1.618284, -1.879980, 1.051288, -3.496681, 2.811203, -2.934581, -5.716214, 3.277770, -3.138947, 2.677073, -0.417512, 1.088949, -1.862258, -2.811417, -1.165124, -3.480791, 0.626447, -3.974480, 4.411671, 2.818350, 0.153456, 6.457481, -4.495986, -1.187377, 3.742035, 3.114272, 1.097547, -2.810915, -1.571561, -3.592286, -1.861256, -0.139019, -1.958348, 2.317251, 3.362959, 2.390482, 1.623305, -2.004335, -2.266663, -1.369411, 1.135420, -2.893018, -3.064088, -5.086773, -2.430593, 0.050723, -4.056776, 4.988774, -2.722190, 2.444251, -2.576542, 6.079070, 1.124283, 1.035123, -4.673074, -1.525879, -2.667859, 0.106462, 4.163226, -3.708018, -0.265394, -5.358056, 5.610471, 
8, -2.315264, 0.223677, 1.537094, -0.942736, 2.523638, 0.232129, 0.331985, 1.627387, -3.661285, -4.042072, 4.597035, 2.090292, -3.338357, -0.385293, 3.450493, -1.756387, 5.149345, -3.027908, 2.955599, -5.649925, 2.721931, 3.002916, -3.409426, 0.015463, -0.642921, -6.342180, 0.114644, -0.788635, 3.902165, -3.198011, 2.130206, -3.049208, 3.997201, -5.737844, -2.041336, 2.140253, -3.182027, -1.509538, -1.757247, 0.840472, -3.643839, 2.600138, -2.995188, -5.913594, 3.511252, -3.076663, 2.881897, -0.367745, 1.200788, -1.878149, -2.972371, -1.045018, -3.516508, 0.702090, -4.202916, 4.435590, 2.908922, 0.197958, 6.682105, -4.595889, -1.356348, 3.570384, 3.138922, 1.236142, -2.661505, -1.527729, -3.516156, -1.870118, -0.297280, -2.096192, 2.367896, 3.130246, 2.149178, 1.761017, -1.821309, -2.081469, -1.240481, 1.333125, -2.713172, -3.251901, -5.105486, -2.473514, -0.126392, -4.016974, 5.128870, -2.742319, 2.484038, -2.789477, 6.268752, 1.255080, 0.909638, -4.839277, -1.744589, -2.516218, 0.316573, 4.240878, -3.688854, -0.099328, -5.433977, 5.758526, 
9, -2.505542, 0.079535, 1.609861, -0.818391, 2.312630, 0.362153, 0.135488, 1.729711, -3.604611, -4.014180, 4.663797, 2.058205, -3.408777, -0.485622, 3.392862, -1.977281, 5.194701, -3.110677, 2.893082, -5.755990, 2.861794, 3.003057, -3.576151, 0.027038, -0.605482, -6.553237, 0.205802, -0.543855, 3.806749, -3.139793, 2.217852, -3.198255, 4.242891, -5.906483, -2.056389, 2.125958, -3.031742, -1.400793, -1.634514, 0.629655, -3.790997, 2.389072, -3.055795, -6.110974, 3.744734, -3.014379, 3.086721, -0.317978, 1.312628, -1.894040, -3.133326, -0.924911, -3.552226, 0.777732, -4.431352, 4.459508, 2.999494, 0.242459, 6.906728, -4.695792, -1.525319, 3.398734, 3.163572, 1.374737, -2.512095, -1.483896, -3.440026, -1.878981, -0.455541, -2.234035, 2.418541, 2.897533, 1.907874, 1.898729, -1.638283, -1.896275, -1.111552, 1.530830, -2.533325, -3.439713, -5.124198, -2.516436, -0.303507, -3.977171, 5.268965, -2.762448, 2.523825, -3.002412, 6.458435, 1.385877, 0.784154, -5.005480, -1.963299, -2.364577, 0.526685, 4.318531, -3.669689, 0.066737, -5.509898, 5.906582, 
10, -2.695820, -0.064607, 1.682629, -0.694046, 2.101622, 0.492177, -0.061009, 1.832034, -3.547937, -3.986288, 4.730559, 2.026118, -3.479196, -0.585952, 3.335231, -2.198174, 5.240057, -3.193447, 2.830565, -5.862054, 3.001656, 3.003199, -3.742876, 0.038612, -0.568043, -6.764294, 0.296959, -0.299076, 3.711334, -3.081575, 2.305499, -3.347302, 4.488582, -6.075121, -2.071443, 2.111663, -2.881456, -1.292048, -1.511781, 0.418839, -3.938155, 2.178007, -3.116402, -6.308355, 3.978216, -2.952094, 3.291545, -0.268211, 1.424468, -1.909931, -3.294281, -0.804805, -3.587943, 0.853375, -4.659788, 4.483427, 3.090066, 0.286961, 7.131351, -4.795695, -1.694290, 3.227083, 3.188222, 1.513332, -2.362686, -1.440064, -3.363895, -1.887844, -0.613802, -2.371878, 2.469186, 2.664820, 1.666570, 2.036442, -1.455257, -1.711082, -0.982623, 1.728535, -2.353479, -3.627526, -5.142910, -2.559357, -0.480622, -3.937369, 5.409061, -2.782577, 2.563613, -3.215347, 6.648117, 1.516674, 0.658669, -5.171683, -2.182009, -2.212936, 0.736796, 4.396184, -3.650524, 0.232802, -5.585820, 6.054637, 
